text|favorited|favoriteCount|replyToSN|created|truncated|replyToSID|id|replyToUID|statusSource|screenName|retweetCount|isRetweet|retweeted|longitude|latitude
#Coronavirus : le CHU de #Nantes et le CHD de #Vendee manquent de surblouses et en appellent aux dons #Covid19 https://t.co/hbf3cWur8O|FALSE|1|NA|2020-04-10 15:22:18|FALSE|NA|1248632404337659906|NA|<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>|F3PaysdelaLoire|1|FALSE|FALSE|NA|NA
RT @ivanrioufol: Mort d'un urgentiste sur le front du #coronavirus.#herosduquotidien|FALSE|0|NA|2020-04-10 15:22:17|FALSE|NA|1248632401393303553|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|mariedanielleje|54|TRUE|FALSE|NA|NA
<U+0001F637> #Coronavirus – En Irlande du Nord <U+0001F1EC><U+0001F1E7>, la police appelle les citoyens à dénoncer les violations du #confinement en… https://t.co/qE2wHhRorp|FALSE|1|lobs|2020-04-10 15:22:15|TRUE|1248628571507023873|1248632392467783684|21313364|<a href="https://about.twitter.com/products/tweetdeck" rel="nofollow">TweetDeck</a>|lobs|0|FALSE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : Les banques envisagent de passer le plafond du paiement sans contact de 30 à 50 euros pour l…|FALSE|0|NA|2020-04-10 15:22:14|FALSE|NA|1248632389536026631|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|FormatiKKkK|608|TRUE|FALSE|NA|NA
RT @chroniquetwitt1: <U+0001F6A8> | Le centre de dépistage de Yopougon BAE bientôt disponible Le centre de dépistage du Coronavirus, en construction…|FALSE|0|NA|2020-04-10 15:22:14|FALSE|NA|1248632386755182594|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|ToiYannlionel|4|TRUE|FALSE|NA|NA
RT @dlang57500: Un instant de détente en cette période de #Confinement #coronavirus https://t.co/WksG9qbxL6|FALSE|0|NA|2020-04-10 15:22:13|FALSE|NA|1248632384720961536|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|BrunJonathan1|3|TRUE|FALSE|NA|NA
RT @Callystor: La véritable ambiance entre #Macron et les soignants du #KremlinBicêtre était très différente de ce que suggère la vidéo pub…|FALSE|0|NA|2020-04-10 15:22:13|FALSE|NA|1248632382753771523|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|ValentinNAPOLI1|2627|TRUE|FALSE|NA|NA
RT @Le_Figaro: <U+0001F1EA><U+0001F1F8> FLASH - Le nombre de morts en #Espagne atteint son niveau le plus bas depuis le 24 mars.  605 morts du #Covid19 en 24 heu…|FALSE|0|NA|2020-04-10 15:22:12|FALSE|NA|1248632381369704450|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|drewbiebbs|21|TRUE|FALSE|NA|NA
RT @villedementon: #COVID19 #Coronavirus -  À la demande du Maire, des casquettes-visières sont  apportées aux professionnels confrontés au…|FALSE|0|NA|2020-04-10 15:22:11|FALSE|NA|1248632376789516288|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|LACOTEDAZURLIV|5|TRUE|FALSE|NA|NA
[#Coronavirus] <U+0001F48A>Le confinement n’est pas synonyme d’arrêt de vos soins et de vos suivis <U+2757> <U+0001F4DE>Contactez votre médecin… https://t.co/UNTEevfsgK|FALSE|1|NA|2020-04-10 15:22:10|TRUE|NA|1248632372674904068|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|Prefet70|0|FALSE|FALSE|NA|NA
RT @le_Parisien: 1,6 million de Français seraient infectés par le #coronavirus, selon une première estimation communiquée jeudi soir par le…|FALSE|0|NA|2020-04-10 15:22:10|FALSE|NA|1248632372435828737|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|TheTaluch|175|TRUE|FALSE|NA|NA
RT @Europe1: A l'hôpital de Marseille, le personnel soignant crie son besoin de matériel alors qu'Emmanuel Macron rencontre le Professeur D…|FALSE|0|NA|2020-04-10 15:22:09|FALSE|NA|1248632367067156480|NA|<a href="https://mobile.twitter.com" rel="nofollow">Twitter Web App</a>|DerobMartine|1742|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : J.M #Blanquer "La reprise le 4 mai n’a jamais été une certitude mais un retour au mois de ma…|FALSE|0|NA|2020-04-10 15:22:08|FALSE|NA|1248632364785446914|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|duxbarber951|201|TRUE|FALSE|NA|NA
RT @acversailles: #Coronavirus Acrobaties à couper le souffle, chorégraphies endiablées et performances artistiques inédites : bienvenue au…|FALSE|0|NA|2020-04-10 15:22:07|FALSE|NA|1248632360352075779|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|PeepAD92|1|TRUE|FALSE|NA|NA
RT @rbth_fr: Le métro de #Moscou propose désormais des excursions inédites virtuelles en temps de #confinement. #Russie #coronavirus #covid…|FALSE|0|NA|2020-04-10 15:22:06|FALSE|NA|1248632355209842690|NA|<a href="https://twitter.com/Jeremiade2" rel="nofollow">JR Trusted News</a>|JaiRaison|5|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EB><U+0001F1F7> Pandémie de #coronavirus : Le président de la région #GrandEst Jean #Rottner estime, que les Agences régionales de sant…|FALSE|0|NA|2020-04-10 15:22:06|FALSE|NA|1248632353540517888|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|Vagner83460|141|TRUE|FALSE|NA|NA
RT @mosqueederomans: A l’initiative d’un fidèle, nous avons le plaisir d’avoir offert durant 2 mardis consécutifs, un repas au personnel ho…|FALSE|0|NA|2020-04-10 15:22:06|FALSE|NA|1248632352743600129|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|mehdi626|17|TRUE|FALSE|NA|NA
RT @ameli_actu: Les personnes qui partagent leur domicile avec un proche à l’état de santé jugé fragile, au titre des pathologies listées p…|FALSE|0|NA|2020-04-10 15:22:04|FALSE|NA|1248632348276555776|NA|<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>|MartiNatacha31|50|TRUE|FALSE|NA|NA
RT @RevuePol: Retrouvez l'édito d'Arnaud Benedetti avec notre partenaire Radio Orient @Benedetti65 @AlexisBachelay #COVID<U+30FC>19 #coronavirus #…|FALSE|0|NA|2020-04-10 15:22:04|FALSE|NA|1248632346762448896|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|AlexisBachelay|7|TRUE|FALSE|NA|NA
RT @Civitas_: #coronavirus #COVID19 #Euthanasie de nos vieillards dans les #EHPAD et empêchement de soigner les malades à l'#Hydroxychloroq…|FALSE|0|NA|2020-04-10 15:22:04|FALSE|NA|1248632345281925120|NA|<a href="https://twitter.com/Jeremiade2" rel="nofollow">JR Trusted News</a>|JaiRaison|4|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1EA><U+0001F1FA> Lutte contre le #coronavirus : #Taiwan a offert 5,6 millions de #masques à l'#Europe. Ils sont arrivés par avion au #Lu…|FALSE|0|NA|2020-04-10 15:22:04|FALSE|NA|1248632345210560514|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|Vagner83460|42|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F30D> Pandémie de #coronavirus : Après le #confinement, des compagnies aériennes suggèrent de n'autoriser à embarquer à bord d…|FALSE|0|NA|2020-04-10 15:22:03|FALSE|NA|1248632340135493638|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|SerigneDS|191|TRUE|FALSE|NA|NA
RT @mselon3: Après plusieurs jours en réanimation et soigné à la #chloroquine , Olivier #Mazerolle révèle être guéri du #coronavirus https:…|FALSE|0|NA|2020-04-10 15:22:02|FALSE|NA|1248632338839470080|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|jerem02222716|214|TRUE|FALSE|NA|NA
RT @Conflits_FR: <U+0001F1FA><U+0001F1F8> Présidentielle américaine : selon un dernier sondage, Joe #Biden devance nettement Donald #Trump dans les intentions de…|FALSE|0|NA|2020-04-10 15:22:02|FALSE|NA|1248632336201273345|NA|<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>|Vagner83460|81|TRUE|FALSE|NA|NA
RT @MartineBillard: Espérons que cette prise de conscience ne soit pas éphémère #Cherbourg #COVID<U+30FC>19 #coronavirus #HopitalPublic #OnOublier…|FALSE|0|NA|2020-04-10 15:22:01|FALSE|NA|1248632333651107840|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|amg_jad|16|TRUE|FALSE|NA|NA
RT @LachaudB: Après le #Brexit, l'Angleterre abat un autre dogme stupide de l'#UE. La banque d'Angleterre financera directement l'Etat. A q…|FALSE|0|NA|2020-04-10 15:22:01|FALSE|NA|1248632333432913921|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|Scarlet90229995|53|TRUE|FALSE|NA|NA
RT @Sophie_Wilmes: Comité de concertation terminé. La situation dans certaines maisons de repos (MR/MRS) nécessite une réponse collective.…|FALSE|0|NA|2020-04-10 15:22:00|FALSE|NA|1248632330970955777|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|MCJPetitjean|8|TRUE|FALSE|NA|NA
RT @AiphanMarcel: Nouvelle #FakeNews de #Castaner, le roi du poker menteur, qui niait toute réquisition de #masques à l’aéroport de Mulhous…|FALSE|0|NA|2020-04-10 15:22:00|FALSE|NA|1248632330341748737|NA|<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>|JosephIturbide|60|TRUE|FALSE|NA|NA
